freelancer_ID,name,gender,age,country,language,primary_skill,years_of_experience,hourly_rate (USD),rating,is_active,client_satisfaction
FL250001,Ms. Nicole Kidd,f,52.0,Italy,Italian,Blockchain Development,11.0,100,,0,
FL250002,Vanessa Garcia,FEMALE,52.0,Australia,English,Mobile Apps,34.0,USD 100,3.3,1,84%
FL250003,Juan Nelson,male,53.0,Germany,German,Graphic Design,31.0,50,0.0,N,71%
FL250004,Amanda Spencer,F,38.0,Australia,English,Web Development,4.0,$40,1.5,N,90%
FL250005,Lynn Curtis DDS,female,53.0,Germany,German,Web Development,27.0,30,4.8,0,83%
FL250006,Lisa Johnson,female,59.0,Netherlands,Dutch,AI,14.0,$30,2.4,False,
FL250007,Eric Myers,m,52.0,Indonesia,Indonesian,Data Analysis,10.0,USD 75,3.1,0,94%
FL250008,Ricky Graham,male,43.0,Italy,Italian,Blockchain Development,14.0,USD 40,4.6,False,94%
FL250009,Sean Martin,male,26.0,United States,English,Blockchain Development,4.0,,4.0,True,76%
FL250010,Matthew Lloyd,MALE,52.0,Turkey,Turkish,AI,22.0,$50,,1,
FL250011,Gavin Randall,m,40.0,United Kingdom,English,Data Analysis,17.0,40,3.6,yes,77%
FL250012,Michelle Curtis,FEMALE,55.0,Argentina,Spanish,UI/UX Design,15.0,,,Y,86%
FL250013,Alice Schneider,Female,57.0,United Kingdom,English,Cybersecurity,18.0,,2.0,0,86%
FL250014,Phillip Shelton,MALE,38.0,Argentina,Spanish,Graphic Design,20.0,USD 75,2.9,1,93%
FL250015,Edward Ferguson,MALE,50.0,Germany,German,Data Analysis,22.0,75,3.7,1,70%
FL250016,Wyatt Stout,m,42.0,Japan,Japanese,Data Analysis,0.0,$30,1.2,0,69%
FL250017,Laura Johnson,Female,39.0,Australia,English,DevOps,13.0,$30,2.5,False,60%
FL250018,Scott Burns,M,56.0,India,Hindi,Blockchain Development,,,,,87%
FL250019,Tyler Aguirre,Male,56.0,United States,English,UI/UX Design,31.0,USD 50,1.1,N,75%
FL250020,Matthew Lawson,Male,57.0,Italy,Italian,Web Development,3.0,USD 100,1.8,yes,68%
FL250021,James Cherry,Male,,Indonesia,Indonesian,AI,9.0,50,1.8,False,65%
FL250022,Samuel Sanford,m,51.0,Japan,Japanese,DevOps,,,2.4,N,69%
FL250023,Cesar Greene,m,51.0,Brazil,Portuguese,Cybersecurity,21.0,USD 30,4.7,N,
FL250024,Melanie Carter,female,51.0,South Korea,Korean,Machine Learning,15.0,$50,1.3,1,100%
FL250025,Jennifer Martin,f,54.0,Indonesia,Indonesian,Machine Learning,13.0,75,2.9,,92
FL250026,Anna Mccann,FEMALE,22.0,South Korea,Korean,DevOps,0.0,USD 30,1.2,1,70%
FL250027,Marissa Bass,female,34.0,Japan,Japanese,Blockchain Development,8.0,$20,0.0,True,89%
